file,Municipal_Name,GEO_ID,County,RPC_Name,RPC,FIPS6
Orleans_Greensboro.geojson,Greensboro,5001930175,Orleans,Northeastern Vermont Development Association,NVDA,19045
Orleans_Jay.geojson,Jay,5001936325,Orleans,Northeastern Vermont Development Association,NVDA,19060
Orleans_Lowell.geojson,Lowell,5001940525,Orleans,Northeastern Vermont Development Association,NVDA,19065
Orleans_Morgan.geojson,Morgan,5001946450,Orleans,Northeastern Vermont Development Association,NVDA,19070
Orleans_NewportCity.geojson,NewportCity,5001948925,Orleans,Northeastern Vermont Development Association,NVDA,19080
Orleans_NewportTown.geojson,NewportTown,5001948925,Orleans,Northeastern Vermont Development Association,NVDA,19080
Orleans_Troy.geojson,Troy,5001973525,Orleans,Northeastern Vermont Development Association,NVDA,19085
Orleans_Westfield.geojson,Westfield,5001980200,Orleans,Northeastern Vermont Development Association,NVDA,19090
Orleans_Westmore.geojson,Westmore,5001981700,Orleans,Northeastern Vermont Development Association,NVDA,19095
Rutland_Benson.geojson,Benson,5002105200,Rutland,Rutland Regional Planning Commission,RRPC,21005
Rutland_Brandon.geojson,Brandon,5002107750,Rutland,Rutland Regional Planning Commission,RRPC,21010
Rutland_Castleton.geojson,Castleton,5002111950,Rutland,Rutland Regional Planning Commission,RRPC,21015
Rutland_Clarendon.geojson,Clarendon,5002114500,Rutland,Rutland Regional Planning Commission,RRPC,21025
Rutland_FairHaven.geojson,FairHaven,5002125375,Rutland,Rutland Regional Planning Commission,RRPC,21035
Rutland_Hubbardton.geojson,Hubbardton,5002134450,Rutland,Rutland Regional Planning Commission,RRPC,21040
Rutland_Killington.geojson,Killington,5002137685,Rutland,Rutland Regional Planning Commission,RRPC,21047
Rutland_Mendon.geojson,Mendon,5002144125,Rutland,Rutland Regional Planning Commission,RRPC,21050
Rutland_Pawlet.geojson,Pawlet,5002154250,Rutland,Rutland Regional Planning Commission,RRPC,21070
Rutland_Pittsford.geojson,Pittsford,5002155600,Rutland,Rutland Regional Planning Commission,RRPC,21080
Rutland_Poultney.geojson,Poultney,5002156875,Rutland,Rutland Regional Planning Commission,RRPC,21085
Rutland_Proctor.geojson,Proctor,5002157250,Rutland,Rutland Regional Planning Commission,RRPC,21090
Rutland_RutlandCity.geojson,RutlandCity,5002161300,Rutland,Rutland Regional Planning Commission,RRPC,21100
Rutland_Shrewsbury.geojson,Shrewsbury,5002165275,Rutland,Rutland Regional Planning Commission,RRPC,21110
Rutland_Sudbury.geojson,Sudbury,5002171050,Rutland,Rutland Regional Planning Commission,RRPC,21115
Rutland_Tinmouth.geojson,Tinmouth,5002172925,Rutland,Rutland Regional Planning Commission,RRPC,21120
Rutland_Wallingford.geojson,Wallingford,5002175925,Rutland,Rutland Regional Planning Commission,RRPC,21125
